questcard_number,questcard_box,questcard_deckpart,questcard_name,questcard_type,questcard_part,questcard_progress_req,questcard_cost,questcard_unique,questcard_text,questcard_count,questcard_keyword1,questcard_keyword2,questcard_keyword3,questcard_keyword4,questcard_trait1,questcard_trait2,questcard_trait3,questcard_trait4,questcard_hp,questcard_quest,questcard_attack,questcard_def,questcard_secrecy,questcard_vp
63,4,10,Athelas,Objective,,,,,"Action: Exhaust a hero to claim this objective if it has no encounters attached. Then, attach Athelas to that hero.",4,guarded,,,,item,artifact,,,,,,,,
64,4,10,Wilyador,Objective - Ally,,,,,"No attachments. The first player gains control of Wilyador, as an ally.
Forced: At the end of each round, Wilyador suffers 2 damage.Wilyador cannot be healed of more than 5 wounds by a single effect. If Wilyador leaves play, the players have lost the game.",1,,,,,creature,eagle,,,20,1,1,1,,
60,4,10,The Wounded Eagle,Quest,1,8,,,"Side A: Setup: Search the encounter deck for Rhosgobel and Wilyador, and add them to the staging area with 2 damage tokens on Wilyador.  Then, shuffle the encounter deck.
Side B: none.",1,,,,,,,,,,,,,,
61,4,10,Radagast's Request,Quest,2,12,,,"Side A: none.
Side B: Response: After the quest phase begins, the first player may place X damage tokens on Wilyador to look at the top 3 cards of the encounter deck.  Reveal and add 1 of these cards to the staging area, and discard the other 2.  X is the number of players in the game.
Forced: After a card effect heals Wilyador, remove that card from the game.",1,,,,,,,,,,,,,,
62,4,10,Return to Rhosgobel,Quest,3,0,,,"Side A: none.
Side B: When Revealed: Heal 5 wounds from Wilyador for each Athelas objective card the players control.
If Wilyador is completely healed when this effect resolves, Wilyador survives and the players have won the game.  Otherwise, the players have lost the game.",1,,,,,,,,,,,,,,
25,28,74,Trouble in Bree,Quest,1,8,,,"Side A: Setup: Set all copies of Ringwraith, The Witch-king, Midgewater, and Weathertop aside, out of play. Add The Prancing Pony and Bill Ferny to the staging area. 
Shuffle the encounter deck.
Side B: The players cannot advance while The Prancing Pony is in play.",1,,,,,,,,,,,,,,
78,28,73,Gandalf's Delay,Objective,,,,,Setup: Add Gandalf?s Delay to the staging area. Each player draws 1 less card in his starting hand.,1,,,,,burden,,,,,,,,,
22,28,73,Three is Company,Quest,1,1,,,"Side A: Setup: Set Bucklebury Ferry aside, out of play. Add 1 Black Rider to the staging area and make Bag End the active location. Shuffle the encounter deck.
Side B: When a player fails a Hide test, each Nazgul enemy in the staging area engages that player. (Trigger Forced effects after resolving this effect.)
The players cannot advance unless Bag End is in the victory display. ",1,,,,,,,,,,,,,,
23,28,73,A Shortcut to Mushrooms,Quest,2,14,,,"Side A: When Revealed: The first player searches the encounter deck and discard pile for a Black Rider, reveals it (cannot be canceled), and adds it to the staging area. 
Shuffle the encounter deck.
Side B: When a player makes a Hide test, add 1 to the total [Threat] for each ally that player controls.
When a player fails a Hide test, each Nazg–l enemy in the staging area engages
that player. (Trigger Forced effects after resolving this effect.) ",1,,,,,,,,,,,,,,
24,28,73,Escape to Buckland,Quest,3,,,,"Side A: When Revealed: Add Bucklebury Ferry to the staging area.
Side B: When Revealed: The first player searches the encounter deck and discard pile for a Black Rider, reveals it (cannot be canceled), and adds it to the staging area. 
Shuffle the encounter deck.
When a player fails a Hide test, each Nazg–l enemy in the staging area engages that player. (Trigger Forced effects after resolving this effect.)
Response: After a player makes a successful Hide test, place X progress on a non-unique location in play. X is twice the number of players in the game. ",1,,,,,,,,,,,,,,
91,19,41,Retake the City,Quest,1,,,,"Side A: Each player chooses 1 enemy and 1 unique location and add them to the staging area. Shuffle the encounter deck.
Player card effects cannot place progress tokens on locations in the staging area.
Forced: When an Osgiliath location leaves play as an explored location, the first player takes control of that location.
If the players controll all Osgiliath locations in play at the end of the round, they have won the game.",1,,,,,,,,,,,,,,
37,3,9,Grimbeorn the Old,Objective - Ally,,,,,"Grimbeorn the Old does not exhaust to defend against Troll enemies. If Grimbeorn the Old has 8 or more resource tokens on him, he joins the first player as an ally.
Action: Spend 1 Leadership resource to place that resource on Grimbeorn the Old.",1,,,,,ally,,,,10,2,4,3,,
35,3,9,Grimbeorn's Quest,Quest,1,7,,,"Side A: Setup: Add The Carrock to the staging area.  Remove 4 unique Troll cards and 4 copies of the ""Sacked!"" card from the encounter deck and set them aside, out of play.  Then shuffle 1 ""Sacked!"" card per player back into the encounter deck.
Side B: Forced: After placing the 7th progress token on Grimbeorn's Quest, The Carrock becomes the active location.  Discard the previous active location from play.",1,,,,,,,,,,,,,,
36,3,9,Against the Trolls,Quest,2,1,,,"Side A: none.
Side B: When Revealed: Place the unique Troll cards previously set aside into the staging area.
Players cannot defeat this stage if there are any Troll enemies in play.",1,,,,,,,,,,,,,,
79,24,64,Bilbo's Magic Ring,Objective,,,,,"Attach to Bilbo Baggins. Action: When answering a riddle, spend 1 [Baggins] resource to discard an additional player card from the top of your deck. Action: Exhaust Bilbo's Magic Ring and raise each player's threat by 2 to add 1 [Baggins] resource to Bilgo Baggins' resource pool.",1,,,,,artifact,ring,,,,,,,,
29,24,64,Out of the Frying Pan,Quest,1,14,,,"Side A: Setup: Add Lake in the Cavern to the staging area. Create a riddle area with stage 2A and follow the setup instructions on that card.
Players cannot advance to stage 3A unless both 1B and 2B are complete.
Side B: Forced: Reveal 1 additional encounter card per player during the staging step. ",1,,,,,,,,,,,,,,
30,24,64,Riddles in the Dark,Quest,2,9,,,"Side A: Setup: Search the encounter deck for Gollum and Bilbo's Magic Ring. Place Gollum and Bilbo Baggins in the riddle area and attach Bilbo's Magic Ring to Bilbo Baggins. Then, shuffle the encounter deck.
Side B: Players cannot advance to stage 3A unless both 1B and 2B are complete.
Progress tokens cannot be added to, or removed from, this quest except by answering riddles.
Cards in the riddle area are immune to player card effects and cannot leave the riddle area except by quest effects. ",1,,,,,,,,,,,,,,
31,24,64,Into the Fire,Quest,3,16,,,"Side B: When Revealed: The first player gains control of Bilbo Baggins. Reveal 1 encounter card per player and add it to the staging area.
Gollum engages the first player. Damage from undefended attacks made by Gollum must be placed on Bilbo Baggins.
All riddle effects are ignored. Treachery cards gain surge.
If players defeat this stage, they have won the game. ",1,,,,,,,,,,,,,,
68,18,40,Rescued Villagers,Objective,,,,,"If a location leaves play as an explored location, move any villager tokens from that location to Rescued Villagers.
At the end of the game, if there are more villager tokens here than damage tokens on Dead Villagers, the players have won.",1,,,,,,,,,,,,,,
69,18,40,Dead Villagers,Objective,,,,,"If a villager token is discarded from a location, objective, or quest stage, place a damage token on Dead Villagers.
At the end of the game, if there are more damage tokens here than villager tokens on Rescued Villagers, the players have lost.",1,,,,,,,,,,,,,,
70,18,40,Lord Alcaron,Objective - Ally,,,,1,"The first player gains control of Lord Alcaron.
Response: After a villager token is discarded, exhaust Lord Alcaron to place that villager token on a location instead.
If Lord Alcaron leaves play, the players have lost the game.",1,,,,,gondor,noble,,,3,1,2,2,,
66,18,40,Savagery of the Orcs,Quest,1,,,,"Side A: Setup: Set Ghulat aside, out of play. Put Lord Alcaron into play. Make Burning Farmhouse the active location. Add the Rescued Villagers and Dead Villagers objectives to the staging area. Then, shuffle the encounter deck and reveal 1 encounter card per player and add it to the staging area.
Side B: Villagers 5.
When progress would be placed on Savagery of the Orcs, move an equal number of villager tokens from this quest onto Rescued Villagers instead.
If there are no villager tokens on Savagery of the Orcs, advance to the next stage. ",1,,,,,,,,,,,,,,
67,18,40,Protect the Villagers,Quest,2,15,,,"Side A: When Revealed: Add Ghulat to the staging area.
Side B: If an attack goes undefended, discard X villager tokens from Rescued Villagers instead of damaging a hero. X is the amount of damage that would have been dealt.
When the players defeat this stage, end the game. Compare the number of tokens on Rescued Villagers to the number of tokens on Dead Villagers. ",1,,,,,,,,,,,,,,
108,1,5,Gandalf's Map,Objective,,,,,"Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Gandalf's Map to a hero you control. (Counts as an attachment. If detached, return Gandalf's Map to the staging area.) Attached hero cannot attack or defend.",1,guarded,restricted,,,item ,,,,,,,,,
109,1,5,Dungeon Torch,Objective,,,,,"Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Dungeon Torch to a hero you control. (Counts as an attachment. If detached, return Dungeon Torch to the staging area.)
Forced: At the end of each round, raise attached hero's controller's threat by 2.",1,guarded,restricted,,,item,,,,,,,,,
110,1,5,Shadow Key,Objective,,,,,"Action: Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Shadow Key to a hero you control. (Counts as an attachment. If detached, return Shadow Key to the staging area.) Forced: At the end of each round, attached hero suffers 1 damage.",1,guarded,restricted,,,item,,,,,,,,,
123,1,5,The Necromancer's Tower,Quest,1,9,,,"Side A: Setup: Search the encounter deck for the 3 objective cards, and place them in the staging area. Also, place the Nazg–l of Dol Guldur face up but out of play, alongside the quest deck. Then, shuffle the encounter deck and attach 1 encounter to each objective card. 
Side B: When Revealed: Randomly select 1 hero card (among all the heroes controlled by the players) and turn it facedown. That hero is now considered a ""prisoner,"" cannot be used, cannot be damaged, and does not collect resources, until it is ""rescued"" (as instructed by card effects) later in this quest. 
The players, as a group, cannot play more than 1 ally card each round. 
Players cannot advance to the next stage of this quest unless they have at least 1 objective card.",1,,,,,,,,,,,,,,
124,1,5,Through the Caverns,Quest,2,15,,,"Side A: none. 
Side B: Response: After placing any number of progress tokens on this card, flip the ""prisoner"" hero card face up, and place 1 damage token on it. This hero has now been ""rescued,"" and may now be used by its controller. 
The players, as a group, cannot play more than 1 ally card each round. 
Players cannot advance to the next stage of this quest unless they have rescued the prisoner and have all 3 ""Escape from Dol Guldur"" objective cards.",1,,,,,,,,,,,,,,
125,1,5,Out of the Dungeons,Quest,3,7,,,"Side A: none. 
Side B: Forced: At the beginning of each quest phase, each player places the top card of his deck, face down in front of him, as if it just engaged him from the staging area. These cards are called ""Orc Guard,"" and act as enemies with: 1 hit point, 1 Attack, and 1 Defense. 
Players cannot defeat this stage while Nazg–l of Dol Guldur is in play. If it is defeated and Nazg–l of Dol Guldur is not in play, the players have won the game.",1,,,,,,,,,,,,,,
67,23,58,Into Mirkwood,Quest,1,9,,,"Side A: Setup: Each player may shuffle 1 copy Bilbo's Magic Ring into his deck. Search the encounter deck for The Spider's Glade and set it aside, out of play. Then, shuffle the encounter deck and reveal 1 encounter card per player.
Side B: Unconscious characters cannot quest, attack, defend, collect resources, trigger abilities, be poisoned, or ready (except by effects that target unconscious characters).",1,,,,,,,,,,,,,,
68,23,58,Lost in the Dark,Quest,2,,,,"Side B: When Revealed: Reveal stage 3 and create a separate staging area for the first player using that stage. Then, all other players advance to stage 4. 

Errata [FAQ 1.5] When Revealed: Reveal stage 3 and create a separate staging area for the first player using that stage. If there are no other players in the game, discard this stage and each card in its staging area. All other players advance to stage 4.",1,,,,,,,,,,,,,,
69,23,58,Captured by Spiders,Quest,3,11,,,"Side A: When Revealed: Remove all resources from each hero's resource pool. Then, make each character you control (except Bilbo Baggins) unconscious.
Side B: Unconscious characters cannot quest, attack, defend, collect resources, trigger abilities, be poisoned, or ready (except by effects that target unconscious characters).
Do not pass the first player token. When this stage is complete, do not advance to stage 4 until the end of the quest phase. (Combine staging areas if necessary.)
Action: Spend 2 [Baggins] resources to ready an unconscious character you control. ",1,,,,,,,,,,,,,,
70,23,58,Battle with the Spiders,Quest,4,3,,,"Side A: When Revealed: Add The Spider's Glade to the Staging area.
Side B: Unconscious characters cannot quest, attack, defend, collect resources, trigger abilities, be poisoned, or ready (except by effects that target unconscious characters).
Progress cannot be placed on this stage while The Spider's Glade is in play
Action: Spend 2 [Baggins] resources to ready an unconscious character you control.
If the players defeat this stage, they have won the game and discovered the treasure card Bilbo's Magic Ring. ",1,,,,,,,,,,,,,,
29,8,20,Abandoned Tools,Objective,,,,,"Guarded. Restricted. 
Action: Exhaust a hero to claim this objective if it has no encounters attached. Then, attach Abandoned Tools to that hero. (If detached, return Abandoned Tools to the staging area.)",1,guarded,restricted,,,tools,,,,,,,,,
69,8,20,A Presence in the Dark,Quest,1,,,,"Side A: Setup: Prepare the quest deck.  Add The Nameless Fear to the staging area.  Remove all copies of A Foe Beyond from the encounter deck.  Then, shuffle 1 copy of A Foe Beyond per player back into the encounter deck.
Side B: When Revealed: Reveal 1 encounter card per player, and add it to the staging area.  Then, add A Presence in the Dark to your victory display.",1,,,,,,,,,,,,,,
70,8,20,Search f or an Exit: Heading Down,Quest,2,5,,,"Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: Forced: If Heading Up is in the player's victory display at the end of any quest phase, shuffle Heading Up back into the quest deck.

Players may bypass this quest card at the end of the combat phase.",1,,,,,,,,,,,,,,1
71,8,20,Search f or an Exit: Heading Up,Quest,2,7,,,"Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: Forced: If Heading Down is in the player's victory display at the end of any quest phase, shuffle Heading Down back into the quest deck.

Players may bypass this quest card at the end of the combat phase.",1,,,,,,,,,,,,,,1
72,8,20, Search for an Exit: A Wrong Turn,Quest,2,7,,,"Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: Forced: If Heading Down is in the player's victory display at the end of any quest phase, shuffle Heading Down back into the quest deck.
Players may bypass this quest card at the end of the combat phase.",1,,,,,,,,,,,,,,1
73,8,20,Search for an Exit: Narrow Paths,Quest,2,3,,,"Quest, Flight from Moria 2, Khazad-d–m x1, Quest Points: 3, VP 1
Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: When Revealed: Each player chooses 1 questing character he controls.  Each questing character not chosen does not count its Willpower until the end of the turn.

Forced: After placing 1st progress token on Narrow Paths, search the encounter deck and discard pile for Abandoned Tools and add it to the staging area, if able.

Players may bypass this quest card at the end of the combat phase.",1,,,,,,,,,,,,,,1
74,8,20,Search for an Exit: Hasty Council,Quest,2,,,,"Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: When Revealed: Shuffle all copies of A Foe Beyond from the encounter discard pile back into the encounter deck.  Reveal the top 2 cards of the quest deck.  Choose 1 to become the active quest (flipped to side 2B) and put the other on the bottom of the quest deck.  Then, add Hasty Council to your victory display.",1,,,,,,,,,,,,,,2
75,8,20,Search for an Exit: Blocked by Shadow,Quest,2,9,,,"Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: When Revealed: The first player chooses 1 of the following: 
* Each player discards 1 card from the top of the encounter deck.  If the card is a treachery card, the discarding player is eliminated from the game.
* Reveals the next quest card, putting Blocked by Shadow on the bottom of the quest deck.

Players may bypass this quest card at the end of the combat phase.  If the players defeat this stage, they escape and win the game.",1,,,,,,,,,,,,,,2
76,8,20,Search for an Exit: Escape from Darkness,Quest,2,4,,,"Side A: While Search for an Exit is the active quest card, only flip it to side 2B at the beginning of the staging step.
Side B: Abandoned Tools gains: ""Refresh Action: Exhaust attached hero to put a progress token on Escape from Darkness.""

Players may bypass this quest card at the end of the combat phase.

Progress tokens cannot be placed on Escape from Darkness except by Abandoned Tools.  If the players defeat this stage, they escape and win the game.",1,,,,,,,,,,,,,,2
57,28,72,An Evil Wound,Objective,,,,,"Attach to the Ring-bearer. Attached hero cannot be healed.
When attached hero would take any amount of damage, reduce the Ring-bearer's life by an equal amount instead.
If the Ring-bearer?s life reaches zero, the players lose the game. ",1,,,,,morgul,,,,,,,,,
28,28,72,Pursued by the Enemy,Quest,1,15,,,"Side A: Setup: Shuffle each burden card from the Flight to the Ford burden set into a Burden deck. Attach An Evil Wound to the Ring-bearer. Set Ford of Bruinen and The Witch-king aside, out of play. Add The Last Bridge and 1 Fell Rider per player to the staging area. Set the Ring-bearer?s life at 15. Shuffle the encounter deck.

Side B: The players cannot advance unless The Last Bridge is in the victory display.
Forced: At the end of the round, reduce the Ring-bearer?s life by 1. ",1,,,,,,,,,,,,,,
29,28,72,Race to Rivendell,Quest,2,13,,,"Side B: When Revealed: Add Ford of Bruinen and The Witch-king to the staging area.
While at least 1 Nazg–l enemy is in play, Race to Rivendell gets +15 quest points.
Forced: At the end of the round, reduce the Ring-bearer?s life by 1.
If the players defeat this stage, they have won the game.",1,,,,,,,,,,,,,,
119,13,26,Durin's Axe,Objective,,,,,"Attached hero gets +3 [Attack]. If attached hero is a Dwarf, it gets +1 [Willpower]. Action: Exhaust a hero to claim this objective. Then, attach Durin's Axe to that hero as an attachment. ",1,surge ,restricted,,,weapon,artifact,,,,,,,,
120,13,26,Durin's Helm,Objective,,,,,"Attached hero gets +1 [Defense]. If attached hero is a Dwarf,it gets +2 hit points. Action: Exhaust a hero to claim this objective. Then, attach Durin's Helm to that hero as an attachment.",1,surge ,,,,armour,artifact,,,,,,,,
111,13,26,The Dripping Walls,Quest,1,9,,,"Side A: Setup: Place the Foundations of Stone encounter set aside, out of play. The first player attaches Cave Torch to a hero of his choice.
Side B: When Revealed: Reveal 1 card from the encounter deck per player and add it to the staging area.",1,,,,,,,,,,,,,,
112,13,26,The Water's Edge,Quest,2,12,,,"Side B: Forced: After a player commits characters to the quest, he must discard the top 2 cards of his deck.",1,,,,,,,,,,,,,,
113,13,26,Washed Away,Quest,3,0,,,"Side B: When Revealed: Discard all Item, Armor, Weapon, Light cards and all encounter deck cards from play. Shuffle all enemy and treachery cards in the counter discard pile together with the Foundations of Stone encounter set. This deck becomes the new encounter deck. Remove all other encounter deck cards from the game. Then, starting with the first player, each player draws a random stage 4 quest card. Remove all other stage 4 quest cards from the game.",1,,,,,,,,,,,,,,
114,13,26,Below the Mines/Sheltered Rocks,Quest,4,11,,,"Side B: When Revealed: Create your own staging area. Reveal 2 cards from the encounter deck and add them to your staging area.

Forced: After the 11th progress token is placed on the Sheltered Rocks, join another player at the beginning of the travel phase. If you cannot join another player, all players continue on to stage 5 together.",1,,,,,,,,,,,,,,
115,13,26,Below the Mines/The Endless Caves,Quest,4,17,,,"Side B: When Revealed: Create your own staging area. Discard all resources from your heroes.

Forced: After the 17th progress token is placed on The Endless Caves, join another player at the beginning of the travel phase. If you cannot join another player, all players continue on to stage 5 together.",1,,,,,,,,,,,,,,
116,13,26,Below the Mines/The Shivering Bank,Quest,4,7,,,"Side B: When Revealed: Create your own staging area. Discard your hand. Reveal 2 cars from the encounter deck and add them to your staging area.

Forced: After the 7th progress token is placed on The Shivering Bank, join another player at the beginning of the travel phase. If you cannot join another player, all players continue on to stage 5 together.",1,,,,,,,,,,,,,,
117,13,26,Below the Mines/Old One Lair,Quest,4,5,,,"Side B: When Revealed: Create your own staging area. Reveal 4 cards from the encounter deck and add them to the staging area.

Forced: After the 5th progress token is placed on One One Lair, join another player at the beginning of the travel phase. If you cannot join another player, all players continue on to stage 5 together.",1,,,,,,,,,,,,,,
