questcard_number,questcard_box,questcard_deckpart,questcard_name,questcard_type,questcard_part,questcard_progress_req,questcard_cost,questcard_unique,questcard_text,questcard_count,questcard_keyword1,questcard_keyword2,questcard_keyword3,questcard_keyword4,questcard_trait1,questcard_trait2,questcard_trait3,questcard_trait4,questcard_hp,questcard_quest,questcard_attack,questcard_def,questcard_secrecy,questcard_vp
61,22,46,Hold the Fords,Quest,3,16,,,"Side A: When Revealed: Each player searches the encounter deck and discard pile for 1 different Dunland enemy and adds it to the staging area. Shuffle the encounter deck. 

Side B: Time 3. Forced: After the last time counter is removed from this stage, discard the top X cards from the encounter deck. X is the number of cards in the first player's hand. Add each enemy discarded this way to the staging area. Put 3 time counters on this stage.

While there is at least 1 enemy in play, the players cannot defeat this stage. If the players defeat this stage, they win the game.",1,,,,,,,,,,,,,,
82,5,11,The Hills of Emyn Muil,Quest,1,1,,,"Side A: Setup: Search the encounter deck for Amon Hen and Amon Lhaw, and add them to the staging area.  Then shuffle the encounter deck.
Side B: Forced: If there are no location cards in the staging area, the first treachery card revealed during the quest phase gains surge.
Players cannot defeat this stage unless there are no Emyn Muil locations in play, and the have collected at least 20 victory points.",1,,,,,,,,,,,,,,1
14,2,8,Signs of Gollum,Objective,,,,,"Guarded. Response: After the players quest successfully, the players may claim Signs of Gollum if it has no attached encounters. When claimed, attach Signs of Gollum to any hero committed to the quest. (Counts as a Condition attachment with: ""Forced: After attached hero is damaged or leaves play, return this card to the top of the encounter deck."")",4,guarded,,,,clue,,,,,,,,,
11,2,8,The Hunt Begins,Quest,1,8,,,"Side A: Setup: Reveal 1 card per player from the encounter deck, and add it to the staging area.
Side B: Forced: After the players quest successfully, the first player looks at the top 3 cards of the encounter deck.  Reveal and add 1 of those cards to the staging area, and discard the other 2 cards.",1,,,,,,,,,,,,,,
12,2,8,A New Terror Abroad,Quest,2,10,,,"Side A: none.
Side B: Forced: At the beginning of the quest phase, the first player looks at the top 2 cards of the encounter deck.  Reveal and add 1 of those cards to the staging area, and discard the other.",1,,,,,,,,,,,,,,
13,2,8,On the Trail,Quest,3,8,,,"Side A: none.
Side B: Any player who does not control a hero with at least 1 Clue objective attached cannot commit characters to this quest.  If there are ever no heroes with Clue objectives attached in play, reset the quest deck to stage 2B.
If the players defeat this stage, the players have once again found a true sign of Gollum's passing, and won the game.",1,,,,,,,,,,,,,,
39,23,56,A Bare Patch,Objective,,,,,"While attached, Smaug the Magnificent gets -3 [Defense].
Response: After the players quest successfully, the first player makes a burgle attempt. If successful, attach A Bare Patch to Smaug the Magnificent.",1,,,,,information,,,,,,,,,
71,23,56,A Warm Welcome,Quest,1,,,,"Side A: Setup: Search the encounter deck for Smaug the Golden, Smaug the Magnificent, The Lonely Mountain, and A Bare Patch. Set Smaug the Magnificent and A Bare Patch aside, out of play. Add Smaug the Golden and The Lonely Mountain to the staging area. Shuggle the five Erebor treasure cards and stack them facedown under The Lonely Mountain.
Side B: Skip the Quest pahse.
Forced: At the end of round, advance to stage 2. ",1,,,,,,,,,,,,,,
72,23,56,The Burglar's Turn,Quest,2,,,,"Side B: Forced: After questing successfully, place 1 progress on Smaug the Golden. Then, the first player makes a burgle attempt. If successful, the first player takes the top treasure card from under The Lonely Mountain into his hand. Then, the players may advance to stage 3.
Forced: After the first player makes an unsuccesful burgle attempt, Smaug the Golden attacks the first player.",1,,,,,,,,,,,,,,
73,23,56,Inside Information,Quest,3,20,,,"Side A: When Revealed: Set Smaug the Golden aside, out of play. Add Smaug the Magnificent and A Bare Patch to the staging area.
Side B: Players cannot defeat this stage while Smaug the Magnificent is in play.
Forced: If the total number of progress on this stage is greater than the total remaining hit points on Smaug the Magnificent, remove Smaug the Magnificent from play.
If the players defeat this stage, they have won the game and discovered any treasure successfully burgled from The Lonely Mountain. ",1,,,,,,,,,,,,,,
74,23,56,Thieves! Fire! Murder!,Quest,4,7,,,"Side A: When Revealed: Remove all progress from Smaug the Golden and set him aside, out of play. Then, add Smaug the Magnificent to the staging area.
Side B: After placing the 7th progress token on this stage, remove all damage from Smaug the Magnificent and set him aside, out of play. Then add Smaug the Golden to the staging area and reset the quest deck to stage 2B.",1,,,,,,,,,,,,,,
88,12,25,Durin's Greaves,Objective,,,,,When Revealed: The first player attaches Durin's Greaves to a hero of his choice as an attachment. Attached hero gains +1 [Defense] ,1,,,,,artifact,armour,,,,,,,,
86,12,25,Journey in the Black Pit,Quest,1,13,,,"Side A: Setup: The first player attaches Cave Torch to a hero of his choice.
Side B: When Revealed: Discard cards from the top of the encounter decks until you discard X locations, where X is one less than the number of players in the game (minimum of 1). Add those locations to the staging area, and shuffle the other discarded cards back into the encounter deck.

Each location gets +1 [Threat]. If the players quest unsuccessfully, trigger all ""Lost:"" effects in play.",1,,,,,,,,,,,,,,
87,12,25,Continuing Eastward,Quest,2,17,,,"Side B: When Revealed: The first player makes a locate test. If this test is failed, reveal cards from the encounter deck equal to the number of players in the game and add them to the staging area. Then, trigger all ""Lost:"" effects in play

If the players quest unsuccessfully, trigger all ""Lost:"" effects in play. If the players defeat this stage, they have won the game.",1,,,,,,,,,,,,,,
15,26,66,Ranger of Ithilien,Objective - Ally,,,,,"When Revealed: The first player takes control of Ranger of Ithilien, exhausted and committed to the quest.  Then, Ranger of Ithilien gains surge.",2,surge ,,,,gondor,ranger,ally,,2,2,2,1,,
16,26,66,Beyond Expectations,Quest,1,7,,,"Side A: Setup: Search the encounter deck for 12 Scout cards, and add 3 per player (one of each title), to the staging area.  Remove The Witch-king from the encounter deck and set him aside, out of play.  Shuffle any unused Scoutcards back into the encounter deck.
Side B: Players cannot travel to West Bank locations.",1,,,,,,,,,,,,,,
17,26,66,Through the Ruins,Quest,2,5,,,"Side A: none.
Side B: Players cannot travel to West Bank locations.
Each player cannot play or put into play more than 1 card from his hand each round.",1,,,,,,,,,,,,,,
18,26,66,Anduin Crossing,Quest,3,1,,,"Side A: none.
Side B: Progress tokens from card effects cannot be placed on this quest card or the active location.
Players cannot travel to East Bank or West Bank locations.
In order to commit characters to the quest, a player must first choose a hero or 1 Ranger of Ithilien card he controls.  Discard each chosen card from play.",1,,,,,,,,,,,,,,
19,26,66,Race to Mias Tirith,Quest,4,15,,,"Side A: none.
Side B: When Revealed: Add The Witch-king to the staging area.
Players have now crossed the Anduin.  Players cannot travel to East Bank locations.
If the players defeat this stage, they have won the game.",1,,,,,,,,,,,,,,
147,21,43,To the Tower,Objective,,,,,"To the Tower cannot leave the staging area.
Remove Faramir from the game.
If 10 or more progress tokens are on To the Tower, the players have lost the game.",1,,,,,captured,,,,,,,,,
144,21,43,The Rearguard,Quest,1,,,,"Side A: Setup: Set aside Lord Alcaron, Nazg–l of Minas Morgul, and The White Bridge. Add To the Tower, Murzag, and 1 copy of Morgul Vale to the staging area.
Side B: Murzag cannot leave play unless destroyed. If Murzag is defeated, advance to the next stage.",1,,,,,,,,,,,,,,
145,21,43,The Betrayal,Quest,2,,,,"Side A: When Revealed: Add Lord Alcaron to the staging area.
Side B: Lord Alcaron cannot leave play unless destroyed. If Lord Alcaron is defeated, advance to the next stage. ",1,,,,,,,,,,,,,,
146,21,43,The Morgul Rider,Quest,3,,,,"Side A: When Revealed: Add Nazg–l of Minas Morgul and The White Bridge to the staging area.
Side B: When Revealed: Reveal 1 card per player from the encounter deck and add it to the staging area.
Nazg–l of Minas Morgul cannot leave play unless destroyed.
If Nazg–l of Minas Morgul is defeated, the players have won the game.",1,,,,,,,,,,,,,,
14,9,22,Arwen Und¢miel,Objective - Ally,,,,,"The first player gains control of Arwen Und¢miel, as an ally.
Response: After Arwen Und¢miel exhausts, choose a hero. Add 1 resource to the hero's resource pool. If Arwen Und¢miel leaves play, the players are defeated.",1,,,,,noldor,noble,ally,,2,2,0,1,,
11,9,22,Up The Pass,Quest,1,9,,,"Side A: Setup: Add Caradhras to the staging area. Remove all copies of Snowstorm from the encounter deck and set them aside, out of play. Put Arwen Und¢miel into play under the control of the first player.
Side B: When Revealed: Reveal 1 card from the encounter deck per player, and add it to the staging area.",1,,,,,,,,,,,,,,
12,9,22,Snowdrifts,Quest,2,11,,,"Side A: none
Side B: When Revealed: Shuffle 1 more copy of Snowstorm into the encounter deck than the number of players in the game.
Forced: After placing the 11th progress token on Snowdrifts, discard any active location. Caradhras becomes the active location.",1,,,,,,,,,,,,,,
13,9,22,The Mountains' Peaks,Quest,3,13,,,"Side A: none. 
Side B: When Revealed: Shuffle all copies of Snowstorm in the encounter discard pile back into the encounter deck. Characters are discarded from play if their Willpower is ever 0.
Players cannot defeat this stage unless they have 5 victory points. If the players defeat this stage, they have won the game.",1,,,,,,,,,,,,,,
85,28,68,The One Ring,Objective,,,,1,"Setup: The first player claims The One Ring and attaches it to the Ring-bearer.
Attached hero does not count against the hero limit. The first player gains control of attached hero.
If The One Ring leaves play, the players lose the game. ",1,,,,,artifact,item,ring,,,,,,,
72,15,28,The Defense,Quest,1,9,,,"Side A: Setup: Add The Approach, The Citadel, and The Banks to the staging area. Shuffle the encounter deck.
Side B: Siege. (Characters quest using [Defense] instead of [Willpower].)
Players must deal damage from undefended attacks to the lowest [Threat] Battleground location in play. If there are no Battleground locations in play, immediately advance to the next stage.",1,,,,,,,,,,,,,,
73,15,28,Reinforcing the Banks,Quest,2,9,,,Side B: Reveal 1 additional card from the encounter deck and add it to the staging area during the staging step each round.,1,,,,,,,,,,,,,,
74,15,28,Breakthrough at the Approach,Quest,3,7,,,"Side B: Battle. (Characters quest using [Attack] instead of [Willpower].)
Forced: After the players quest unsuccessfully, instead of raising threat, each player must choose and discard 1 character he controls.",1,,,,,,,,,,,,,,
75,15,28,Breakthrough at the Citadel,Quest,4,5,,,"Side B: Siege. (Characters use [Defense] instead of [Willpower] when questing.)
Breakthrough at the Citadel adds 5 [Threat] to the staging area.",1,,,,,,,,,,,,,,
76,15,28,The Last Battle,Quest,5,15,,,"Side B: Siege. (Characters quest using [Defense] instead of [Willpower].
When Revealed: Reveal 1 card per player from the encoutner deck and add it to the staging area.
If the players have collected 4 or more victory points, The Last Battle gains battle and loses siege.
If the players defeat this tage, they have won the game.",1,,,,,,,,,,,,,,
26,16,38,A Scrap of History,Objective,,,,,"Action: Exhaust a hero to claim this objective, add it to the victory display, and place 1 resource token on the current quest.",1,,,,,clue ,,,,,,,,,1
27,16,38,Secret Map,Objective,,,,,"Action: Exhaust a hero to claim this objective and attach it to that hero.
Action: If attached to a hero, add Secret Map to the victory display to place 3 progress tokens on the active location.",1,,,,,clue ,,,,,,,,,1
28,16,38,A Prisoner,Objective,,,,,"Action: Exhaust a hero to claim this objective, add it to the victory display, and place 2 resource tokens on the current quest.",1,,,,,clue ,,,,,,,,,1
29,16,38,Unholy Alliance,Objective,,,,,"Reveal 1 additional card from the encounter deck and add it to the staging area during the staging step each round.
If a hero is destroyed by an enemy attack, the players have lost the game.",1,,,,,plot ,,,,,,,,,
30,16,38,Up in Flames,Objective,,,,,"Forced: At the end of the round, place 1 resource token on Up in Flames and discard the top X cards of each player's deck. X is the number of resource tokens on Up in Flames.
If any player has no carrds in his deck, the players have lost the game.",1,,,,,plot ,,,,,,,,,
31,16,38,Poisoned Counsels,Objective,,,,,"At the end of each round, raise each player's threat by 2.",1,,,,,plot ,,,,,,,,,
11,16,38,Conspiracy,Quest,1,,,,"Side A: Setup: Create the underworld deck. Remove Roots of the Mindolluin from the encounter decks and set it aside, out of play. Shuffle all Villain cards and randomly set one aside, out of play, without looking at it. Remove the others from the game. Repeat this with all Plot cards.
Side B: When Revealed: Search the encounter deck for The Fourth Star and make it the active location. Shuffle the encounter deck.
Forced: After the active location leaves play as an explored location, place 1 resource token on this quest.
If there are 4 or more resource tokens on Conspiracy, advance to the next stage.",1,,,,,,,,,,,,,,
12,16,38,The Grand Design,Quest,2,,,,"Side A: When Revealed: Reveal the set aside Plot card and add it to the staging area.
Side B: When Revealed: Make Roots of the Mindolluin the active location, returning any other active locations to the staging area.
Forced: After the active location leaves play as an explored location place 1 resource token on this quest.
If there are 4 or more resource tokens on The Grand Design, advance to the next stage.",1,,,,,,,,,,,,,,
13,16,38,The Confrontation,Quest,3,15,,,"Side A: When Revealed: Reveal the set aside Villain card and add it to the staging area.
Side B: When Revealed: Shuffle the underworld deck into the encounter deck.
The players cannot defeat this stage while a Villain is in play. If this stage is defeated, the players have won the game.",1,,,,,,,,,,,,,,
4,27,67,Derufin,Objective,,,,1,"Forced: After the players travel to The Stone of Erech, the first player gains control of Derufin.
Dusk. Derufin gets ?1 [Willpower]. 
Midnight. Derufin gets ?2 [Willpower].
If Derufin leaves play, the players lose the game. ",1,,,,,gondor,,,,,,,,,
8,27,67,Eventide,Objective,,,,,"Forced: At the end of the round, place 1 progress on Eventide.
If there are 4 or more progress on Eventide, add it to the victory display and put Dusk into play.",1,,,,,night ,,,,,,,,,
9,27,67,Dusk,Objective,,,,,"Forced: At the end of the round, place 1 progress on Dusk.
If there are 4 or more progress on Dusk, add it to the victory display and put Midnight into play.",1,,,,,night ,,,,,,,,,
10,27,67,Midnight,Objective,,,,,"Forced: At the end of the round, place 1 progress on Midnight. Then, raise each player's threat by the number of progress on Midnight.",1,,,,,night ,,,,,,,,,
11,27,67,Relic from the Dark Years,Objective,,,,,"Midnight. Action: Claim this objective and attach it to a hero you control. Counts as an Artifact attachment with the text: ""When attached hero attacks and Oathbreaker, that enemy loses the Spectral keyword until the end of the phase.""",1,,,,,item,artifact,,,,,,,,
1,27,67,The Disappearance,Quest,1,6,,,"Side A: Setup: Make Tarlang?s Neck the active location. SetDerufin, The Lord of the Dead, The Stone of Erech, and the 3 Nightobjectives aside, out of play. Shuffle the encounter deck. Place Eventide into play, next to the current quest.
Side B: When Revealed: Reveal 1 encounter card per player, adding them to the staging area.
Players cannot defeat this stage while Tarlang?s Neck is in play. ",1,,,,,,,,,,,,,,
2,27,67,Terror of the Dead,Quest,2,8,,,"Side A: When Revealed: Add The Stone of Erech to the staging area and attach Derufin to it.
Side B: Forced: At the beginning of each round, the players must choose: each player skips the next planning phase, or heroes do not collect resources during the resource phase this round. ",1,,,,,,,,,,,,,,
3,27,67,The Shadow Host,Quest,3,14,,,"Side A: When Revealed: Starting with the first player, each player searches the encounter deck and discard pile for 1 Oathbreaker enemy, reveals it, and adds it to the staging area. Add the Lord of the Dead to the staging area. 
Side B: Shuffle the encounter deck.
Midnight. Battle. (Characters use their [Attack] instead of [Willpower] when questing.)",1,,,,,,,,,,,,,,
63,11,24,To the West-door,Quest,1,13,,,"Side A: Setup: Remove The Watcher and Doors of Durin from the encounter deck and set them aside, out of play.
Side B: When Revealed: Reveal cards from the top of the encounter deck and add them to the staging area until there is at least X Threat in the staging area. X is twice the number of players in the game. ",1,,,,,,,,,,,,,,
64,11,24,The Seething Lake,Quest,2,5,,,"Side A: none.
Side B: When Revealed: Add The Watcher to the staging area. Doors of Durin becomes the active location, moving any previous active location to the staging area. Shuffle all Tentacle cards in the encounter discard pile back into the encounter deck.
If the players have at least 3 victory points and defeat this stage, they have won the game. ",1,,,,,,,,,,,,,,
62,22,45,Orders from Orthanc,Quest,1,,,,"Side A:Setup: Each player removes the top 20 cards of his deck and places them aside, as an out-of-play deck. The first player takes Mugash plus 1 Mugash's Guard for each other player in the game and randomly shuffles one facedown into each player's out-of-play deck. Place any remaining copies of Mugash's Guard aside, out of play. 

Side B: When Revealed: Each player searches the encounter deck for a Mountain location and adds it to the staging area. Shuffle the encounter deck. Then, advance to stage 2.",1,,,,,,,,,,,,,,
63,22,45,Searching for Mugash,Quest,2,,,,"Side B: Time 2. Forced: After the last time counter is removed for this stage, shuffle the discard pile into the encounter deck and reveal 2 encounter cards per player. Place 2 time counters on this stage. 

Response: After questing successfully, cancel all progress that would be placed on this stage. Then, place 1 time counter on this stage. Or, if Mugash is in play, advance to stage 3.",1,,,,,,,,,,,,,,
64,22,45,The Wizard's Prize,Quest,3,15,,,"Side B: Time 3. Forced: After the last time counter is removed from this stage, return Mugash to the staging area and reveal X encounter cards. X is the number of players in the game minus 1. Place 3 time counters on this stage. 

Progress cannot be placed on this stage unless Mugash is attached to a hero. 

If the players defeat this stage, they win the game.",1,,,,,,,,,,,,,,
41,8,14,Cave Torch,Objective,,,,,"Attach to a hero. Restricted.
Action: Exhaust Cave Torch to place up to 3 progress tokens on a Dark location. Forced: After Cave Torch exhausts, discard the top card of the encounter deck. If that card is an enemy, add it to the staging area.",1,restricted,,,,light,,,,,,,,,
42,24,60,Troll Purse,Objective,,,,,"If Troll Purse is discarded, resolve its ""When Revealed"" effect, if able. When Revealed: Attach to a Troll enemy. Response: After attached Troll enemy is destroyed, the first player may spend 1 [Baggins] resource to claim this objective and attach it to Bilbo Baggins. ",1,,,,,item,,,,,,,,,
43,24,60,Troll Key,Objective,,,,,"If Troll Key is discarded, resolve its ""When Revealed"" effect if able. When Revealed: Attach to a Troll enemy. Response: After attached Troll enemy takes damage as the result of an attack, the first player may exhaust Bilbo Baggins to claim this objective and attach it to him. ",1,,,,,item,,,,,,,,,
44,24,60,A Smelly Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the highest printed cost without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack ,,,,,,,,,
45,24,60,A Strong Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the highest printed [Attack] without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack,,,,,,,,,
46,24,60,A Tough Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the highest printed [Defense] without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack,,,,,,,,,
47,24,60,A Large Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the highest printed hit points without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack,,,,,,,,,
48,24,60,A Deep Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the highest printed [Willpower] without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack,,,,,,,,,
49,24,60,A Foul Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the most attachments without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack,,,,,,,,,
50,24,60, A Worn Sack,Objective,,,,,"When Sacked: Attach to the character (excluding Gandalf) with the most resources without a Sack attached. Attached character cannot ready, attack, defend, commit to quests, or trigger effects. If this Sack is removed, shuffle it into the sack deck.",1,,,,,sack,,,,,,,,,
23,24,60,An Unexpected Party,Quest,1,7,,,"Side A: Setup: Remove and shuffle the 7 Sack cards into a Sack deck and set it aside face down. Remove the 3 Troll enemies and the Troll Cave from the encounter deck and set them aside out of play. Then, shuffle the encounter deck and set them aside out of play. Then, shuffle the encounter deck. Each player reveals 1 card from the top of the counter deck and adds it to the staging area.",1,,,,,,,,,,,,,,
24,24,60,Roast Mutton,Quest,2,1,,,"Side A: When Revealed: Addthe set-aside Troll enemies and the Troll Cave to the staging area. Shuffle the encounter discard pile back into the encounter deck.
Side B: Forced: If there are no Troll enemies left in play, or if there are no cards left in the encounter deck, advance to the next stage.
Any time players would place progress is placed on this quest, discard an equal numberf of cards from the encounter deck instead. (Progress is placed on the active location before triggering this effect.)",1,,,,,,,,,,,,,,
25,24,60,Dawn Take You All,Quest,3,0,,,"Side B: When Revealed: Remove all Troll enemies and Sack cards from the game. If Troll Cave is in the victory display, the players have discovered the treasure cards Sting, Glamdring, and Orcrist.
The players have won the game",1,,,,,,,,,,,,,,
